Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"I Can't Handle Change","Roar","I Can't Handle Change","Life","Playlist","USHM81020595","0I1eFRytp4XRhLCjT6tZm7"
"Animal","Neon Trees","Habits","Life","Playlist","USUM71001801","1fBl642IhJOE5U319Gy2Go"
"She Looks So Perfect","5 Seconds of Summer","5 Seconds Of Summer","Life","Playlist","GBUM71400377","1gugDOSMREb34Xo0c1PlxM"
"MONSTER ENERGY GUN!","KevinKempt","MONSTER ENERGY GUN!","Life","Playlist","QZK6N2006925","06gYMq6RAEHnSYnkrppYBp"
"She's Kinda Hot","5 Seconds of Summer","Sounds Good Feels Good (Deluxe)","Life","Playlist","GBUM71504046","5fsQSDifYpjfbCqvZKPVBj"
"Absolutely (Story of a Girl) - Radio Mix","Nine Days","The Madding Crowd","Life","Playlist","USSM10001437","3mNecsYFb6LQg7822DPXCP"
"Can You Feel My Heart","Bring Me The Horizon","Sempiternal (Deluxe Edition)","Life","Playlist","GBARL1202415","1PInWkBARsxLyouDqa2GtF"
"Oh Klahoma","Jack Stauber","Pop Food","Life","Playlist","QMPKX1703670","6SZwj6cjc8JQbkrr8cbIUn"
"Baby Hotline","Jack Stauber's Micropop","Baby Hotline / Tea Errors","Life","Playlist","QZES51978188","1R8kvV2AgNPCA2Pp4Im1Ao"
"Doctor","Jack Stauber's Micropop","Micropop","Life","Playlist","QMEZE1935922","3IrBrje316Ji5b1eL5JPcT"
"シルエット","KANA-BOON","Time","Life","Playlist","JPU901401691","21z1GxeHjfD3qkaF5CgCTO"
"moment","Vierre Cloud","moment","Life","Playlist","QM42K1931856","2JKIYl8KaAMzOR1dIzEO5f"
"Lemon Boy","Cavetown","Lemon Boy","Life","Playlist","USCGH1805100","3Yvk0ZLxMlt6ioasvdN6vB"
"This Is Home","Cavetown","This Is Home","Life","Playlist","TCADM1818849","7s8VgA8OjvwBUuigKzEGBx"
"18","Anarbor","Burnout (Deluxe Version)","Life","Playlist","USHR21254004","21hbZ0yllYOoXEbiFDYMSI"
"Greek Tragedy","The Wombats","Glitterbug","Life","Playlist","GBAHT1400467","7KPLvVaccakFAxIBjntHUe"
"R U Mine?","Arctic Monkeys","AM","Life","Playlist","GBCEL1300363","2AT8iROs4FQueDv2c8q2KE"
"Cry Baby","The Neighbourhood","Wiped Out!","Life","Playlist","USSM11506744","0EfsDEYaSjGYd66Pr881nq"
"Ghosting","Mother Mother","O My Heart","Life","Playlist","CAL450882107","3vZUC1m6QVm7urnN6lcF64"
"Wrecking Ball","Mother Mother","O My Heart","Life","Playlist","CAL450882109","2y51QpLzI5qbWfCcSx9Tu1"
"See You Again (feat. Kali Uchis)","Tyler, The Creator","Flower Boy","Life","Playlist","USQX91701275","7KA4W4McWYRpgf0fWsJZWB"
"Japanese Denim","Daniel Caesar","Get You - Single","Life","Playlist","TCACR1690007","1boXOL0ua7N2iCOUVI1p9F"
"Self Control","Frank Ocean","Blonde","Life","Playlist","QZ5C81600007","5GUYJTQap5F3RDQiCOJhrS"
"White Ferrari","Frank Ocean","Blonde","Life","Playlist","QZ5C81600014","2LMkwUfqC6S6s6qDVlEuzV"
"EARFQUAKE","Tyler, The Creator","IGOR","Life","Playlist","USQX91901111","5hVghJ4KaYES3BFUATCYn0"
"SLOW DANCING IN THE DARK","Joji","BALLADS 1","Life","Playlist","ZZOPM1800452","0rKtyWc8bvkriBthvHKY8d"
"Tamale","Tyler, The Creator","Wolf","Life","Playlist","USQX91300234","60b6B2ULC85t4Y5IjZvP7A"
"Godspeed","Frank Ocean","Blonde","Life","Playlist","QZ5C81600016","34xTFwjPQ1dC6uJmleno7x"
"Wait a Minute!","WILLOW","ARDIPITHECUS","Life","Playlist","QMJMT1500801","0y60itmpH0aPKsFiGxmtnh"
"Take A Step Back","Ski Mask The Slump God","You Will Regret (Reloaded)","Life","Playlist","USUM71704625","2gQYziDV5cSTRSqr6akzi5"
"Trap Anthem","MC Virgins","Trap Anthem","Life","Playlist","QZFZ42074239","0CJgUQ8UemK2htS73Ye5U8"
"BAD!","XXXTENTACION","BAD!","Life","Playlist","USUYG1225643","4CH66Rxcjcj3VBHwmIBj4T"
"Look At Me!","XXXTENTACION","Look At Me!","Life","Playlist","USUYG1131080","7floNISpH8VF4z4459Qo18"
"Dragula","Rob Zombie","Hellbilly Deluxe","Life","Playlist","USGF19821203","6Nm8h73ycDG2saCnZV8poF"
"Dear Maria, Count Me In","All Time Low","So Wrong, It's Right","Life","Playlist","USHR20747017","0JJP0IS4w0fJx01EcrfkDe"
"Teenagers","My Chemical Romance","The Black Parade","Life","Playlist","USRE10602912","7j31rVgGX9Q2blT92VBEA0"
"Violent","carolesdaughter","Violent","Life","Playlist","USQX92005133","7CFfqRW50ffULvBv7lfIIg"
"Sensitive","Dreamer Isioma","Sensitive","Life","Playlist","QZ93L2001280","0oHEteATZnAZuA9dl1dXF3"
"All The Things She Said","t.A.T.u.","200 KM/H In The Wrong Lane (10th Anniversary Edition)","Life","Playlist","RUA110100098","4bJygwUKrRgq1stlNXcgMg"
"Bubble Pop Electric","Gwen Stefani","Love. Angel. Music. Baby. (Deluxe Version)","Life","Playlist","USIR10400844","2bx879t8gUpxkQ0avl8xTf"
"Rules","Doja Cat","Hot Pink","Life","Playlist","USRC11902867","1TMWcbxL5YF8rKsFHv5hAP"
"Sk8er Boi","Avril Lavigne","Let Go","Life","Playlist","USAR10200229","00Mb3DuaIH1kjrwOku9CGU"
